length, occurrences
2, 1261
4, 437
7, 1209814
6, 870475
5, 1830
8, 3328211
16, 758650
1, 95
3, 409
9, 2352673
10, 2215305
12, 1170838
13, 632336
11, 1601763
14, 478832
15, 320702
35, 32
21, 20483
23, 12830
18, 65325
20, 36002
30, 3891
24, 9814
17, 104900
19, 42517
27, 2341
22, 16814
25, 4811
26, 3441
32, 135
29, 1323
40, 42
28, 1746
34, 27
99, 2
42, 61
36, 39
56, 22
65, 4
84, 18
48, 33
64, 22
50, 38
147, 3
38, 21
112, 12
58, 7
79, 9
78, 2
52, 28
46, 25
105, 11
63, 54
70, 32
57, 8
49, 38
68, 7
53, 15
44, 26
39, 20
66, 4
33, 45
45, 44
31, 73
62, 6
54, 12
77, 24
71, 5
43, 14
92, 1
41, 12
80, 1
81, 2
133, 3
37, 19
100, 21
98, 11
60, 8
59, 7
126, 1
128, 3
91, 10
119, 3
161, 1
87, 1
86, 2
85, 1
190, 1
114, 1
61, 3
76, 1
73, 3
47, 15
55, 15
51, 11
72, 2
138, 1
118, 1
69, 2
109, 1
189, 1
67, 2
187, 1
192, 2
220, 1
185, 1
252, 1
255, 2
154, 1
75, 1
142, 1
139, 1
113, 1
123, 1
144, 3
88, 1
74, 1
177, 1
158, 1
162, 1
180, 1
148, 1
183, 1
115, 1
127, 1
