length, occurrences
8, 83105
9, 60378
7, 17898
11, 41651
10, 60218
12, 41945
13, 18614
16, 6814
14, 11854
6, 16920
15, 8641
5, 3927
17, 3372
4, 3690
21, 1383
19, 4128
18, 2516
3, 1370
1, 3312
2, 993
20, 2735
30, 32
26, 413
22, 402
27, 51
23, 349
25, 250
24, 537
32, 357
28, 264
33, 33
50, 188
29, 88
41, 1
39, 8
36, 12
34, 19
64, 1
35, 5
31, 11
79, 3
135, 3
122, 7
110, 16
118, 18
108, 14
124, 14
134, 10
106, 7
120, 20
128, 8
112, 12
116, 21
114, 10
132, 8
142, 3
130, 15
140, 6
136, 4
126, 6
144, 2
104, 8
138, 2
102, 18
100, 10
45, 4
52, 3
56, 3
42, 1
98, 9
37, 13
95, 10
101, 4
105, 2
103, 4
92, 2
109, 2
107, 6
113, 2
111, 2
96, 2
49, 4
51, 3
71, 1
38, 6
87, 4
43, 1
44, 2
40, 3
599, 2
65, 1
