length, occurrences
10, 556002
8, 909480
6, 413129
3, 9238
2, 706
1, 65
4, 15890
5, 59366
7, 393481
13, 37749
12, 80388
9, 475529
20, 1073
11, 126253
14, 22765
21, 431
18, 1651
32, 2252
15, 14050
16, 6866
27, 143
19, 1024
17, 2412
30, 117
22, 323
35, 50
28, 126
40, 44
23, 254
25, 208
59, 1
39, 25
42, 10
37, 25
85, 1
24, 241
31, 86
43, 7
136, 2
50, 11
26, 167
29, 114
45, 8
15288, 2
15273, 1
44, 6
41, 8
64, 2
15305, 2
53, 1
34, 63
65, 1
119, 1
49, 2
56, 3
63, 1
70, 2
112, 1
120, 1
33, 78
36, 30
48, 2
132, 1
88, 1
90, 1
54, 1
103, 1
38, 15
72, 1
122, 1
67, 1
91, 1
586, 1
47, 2
46, 2
15291, 1
